pitcherstatid,Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
43,Matt Bowman,STL,22,0,0,0,23,29,16,26,11,4,0,2,0,2,5,6.26,1.74
44,Michael Wacha,STL,15,15,0,0,84.1,68,30,71,36,9,8,2,0,0,0,3.2,1.23
45,Mike Mayers,STL,50,0,0,0,51.2,59,27,49,15,7,2,1,1,0,6,4.7,1.43
46,Miles Mikolas,STL,32,32,1,1,200.2,186,63,146,29,16,18,4,0,0,0,2.83,1.07
47,Ryan Sherriff,STL,5,0,0,0,5.2,8,4,3,2,1,0,0,0,0,1,6.35,1.76
48,Sam Tuivailala,STL,31,0,0,0,31.2,35,13,26,11,3,3,3,0,0,4,3.69,1.45
49,Tyler Lyons,STL,27,0,0,0,16.2,24,16,19,8,3,1,0,0,2,9,8.64,1.92
50,Tyler Webb,STL,18,0,0,0,15.1,16,3,11,6,1,0,0,0,0,0,1.76,1.43
51,Andrew Suarez,SFG,29,29,0,0,160.1,163,80,130,45,23,7,13,0,0,0,4.49,1.3
52,Casey Kelly,SFG,7,3,0,0,23.2,28,8,16,5,3,0,3,0,0,0,3.04,1.39
53,Chris Stratton,SFG,28,26,1,1,145,153,82,112,54,19,10,10,0,0,0,5.09,1.43
54,Cory Gearrin,SFG,35,0,0,0,30,33,14,31,13,5,1,1,1,2,2,4.2,1.53
55,D.J. Snelten,SFG,4,0,0,0,4.1,9,5,4,3,2,0,0,0,0,0,10.38,2.77
56,Dereck Rodriguez,SFG,21,19,0,0,118.1,98,37,89,36,9,6,4,0,0,0,2.81,1.13
57,Derek Holland,SFG,36,30,0,0,171.1,154,68,169,67,19,7,9,0,0,0,3.57,1.29
58,Derek Law,SFG,7,0,0,0,13.1,16,11,12,8,2,1,0,0,0,0,7.43,1.8
59,Hunter Strickland,SFG,49,0,0,0,45.1,43,20,37,21,5,3,5,14,4,0,3.97,1.41
60,Jeff Samardzija,SFG,10,10,0,0,44.2,47,31,30,26,6,1,5,0,0,0,6.25,1.63
61,Johnny Cueto,SFG,9,9,0,0,53,46,19,38,13,8,3,2,0,0,0,3.23,1.11
62,Jose Valdez,SFG,4,0,0,0,5,8,7,4,1,3,0,0,0,0,0,12.6,1.8
63,Josh Osich,SFG,12,0,0,0,12,20,11,10,7,2,0,0,0,1,2,8.25,2.25
64,Madison Bumgarner,SFG,21,21,0,0,129.2,118,47,109,43,14,6,7,0,0,0,3.26,1.24
65,Mark Melancon,SFG,41,0,0,0,39,48,14,31,14,2,1,4,3,4,8,3.23,1.59
66,Pierce Johnson,SFG,37,0,0,0,43.2,38,27,36,22,5,3,2,0,0,1,5.56,1.37
67,Ray Black,SFG,26,0,0,0,23.1,17,16,33,10,4,2,2,0,1,1,6.17,1.16
68,Reyes Moronta,SFG,69,0,0,0,65,34,18,79,37,4,5,2,1,5,12,2.49,1.09
69,Roberto Gomez,SFG,5,0,0,0,9.1,20,8,8,1,0,1,0,0,0,0,7.71,2.25
70,Sam Dyson,SFG,74,0,0,0,70.1,56,21,56,20,5,4,3,3,5,15,2.69,1.08
71,Steven Okert,SFG,10,0,0,0,7.1,4,1,8,0,1,0,0,0,0,0,1.23,0.55
72,Tony Watson,SFG,72,0,0,0,66,54,19,72,14,4,4,6,0,4,32,2.59,1.03
73,Ty Blach,SFG,47,13,0,0,118.2,133,56,75,41,8,6,7,0,0,3,4.25,1.47
74,Tyler Beede,SFG,2,2,0,0,7.2,9,7,9,8,0,0,1,0,0,0,8.22,2.22
75,Will Smith,SFG,54,0,0,0,53,37,15,71,15,3,2,3,14,4,6,2.55,0.98
76,Adam Cimber,SDP,42,0,0,0,48.1,42,17,51,10,2,3,5,0,1,5,3.17,1.08
77,Brad Hand,SDP,41,0,0,0,44.1,33,15,65,15,5,2,4,24,5,3,3.05,1.08
78,Brad Wieck,SDP,5,0,0,0,7,3,1,10,0,1,0,0,0,0,0,1.29,0.43
79,Brett Kennedy,SDP,6,6,0,0,26.2,36,20,18,12,6,1,2,0,0,0,6.75,1.8
80,Bryan Mitchell,SDP,16,11,0,0,73,85,44,38,43,12,2,4,0,0,0,5.42,1.75
81,Clayton Richard,SDP,27,27,0,0,158.2,159,94,108,60,19,7,11,0,0,0,5.33,1.38
82,Colten Brewer,SDP,11,0,0,0,9.2,15,6,10,7,0,1,0,0,0,0,5.59,2.28
83,Craig Stammen,SDP,73,0,0,0,79,65,24,88,17,3,8,3,0,5,23,2.73,1.04
84,Eric Lauer,SDP,23,23,0,0,112,127,54,100,46,15,6,7,0,0,0,4.34,1.54
85,Jacob Nix,SDP,9,9,0,0,42.1,52,33,21,13,8,2,5,0,0,0,7.02,1.54
86,Joey Lucchesi,SDP,26,26,0,0,130,125,59,145,43,23,8,9,0,0,0,4.08,1.29
87,Jordan Lyles,SDP,24,8,0,0,71.1,71,34,62,19,12,2,4,0,0,2,4.29,1.26
88,Jose Castillo,SDP,37,0,0,0,38.1,23,14,52,12,3,3,3,0,1,12,3.29,0.91
89,Kazuhisa Makita,SDP,27,0,0,0,35,32,21,37,12,7,0,1,0,0,2,5.4,1.26
90,Kirby Yates,SDP,65,0,0,0,63,41,15,90,17,6,5,3,12,1,16,2.14,0.92
91,Kyle McGrath,SDP,4,0,0,0,4,3,2,4,3,2,0,0,0,0,0,4.5,1.5
92,Luis Perdomo,SDP,12,10,0,0,44.2,62,35,39,22,4,1,6,0,0,0,7.05,1.88
93,Matt Strahm,SDP,41,5,0,0,61.1,39,14,69,21,6,3,4,0,0,7,2.05,0.98
94,Miguel Diaz,SDP,11,0,0,0,18.2,16,10,30,12,2,1,0,0,0,0,4.82,1.5
95,Phil Hughes,SDP,16,0,0,0,20.2,30,14,24,5,7,0,0,0,0,0,6.1,1.69
96,Phil Maton,SDP,45,0,0,0,47.1,50,23,55,23,3,0,2,0,1,3,4.37,1.54
97,Robbie Erlin,SDP,39,12,0,0,109,112,51,88,12,12,4,7,0,0,1,4.21,1.14
98,Robert Stock,SDP,32,0,0,0,39.2,37,11,38,13,1,1,1,0,1,4,2.5,1.26
99,Rowan Wick,SDP,10,0,0,0,8.1,13,6,7,1,1,0,1,0,0,0,6.48,1.68
100,Trey Wingenter,SDP,22,0,0,0,19,13,8,27,11,3,0,0,0,2,5,3.79,1.26
101,Tyson Ross,SDP,22,22,0,0,123.1,112,61,107,52,16,6,9,0,0,0,4.45,1.33
102,Walker Lockett,SDP,4,3,0,0,15,22,16,12,10,4,0,3,0,0,0,9.6,2.13
103,Alex McRae,PIT,2,0,0,0,6.1,8,4,5,5,0,0,1,0,0,0,5.68,2.05
104,Casey Sadler,PIT,2,0,0,0,4.1,9,4,3,3,0,0,0,0,0,0,8.31,2.77
105,Chad Kuhl,PIT,16,16,0,0,85,89,43,81,33,14,5,5,0,0,0,4.55,1.44
106,Clay Holmes,PIT,11,4,0,0,26.1,30,20,21,23,2,1,3,0,1,0,6.84,2.01
107,Dovydas Neverauskas,PIT,25,0,0,0,27,30,24,27,10,9,0,0,0,1,2,8,1.48
108,Edgar Santana,PIT,69,0,0,0,66.1,61,24,54,12,7,3,4,0,7,20,3.26,1.1
109,Felipe Vazquez,PIT,70,0,0,0,70,63,21,89,24,4,4,2,37,5,0,2.7,1.24
110,George Kontos,PIT,21,0,0,0,19.2,23,11,9,5,4,2,3,1,1,5,5.03,1.42
111,Ivan Nova,PIT,29,29,0,0,161,171,75,114,35,26,9,9,0,0,0,4.19,1.28
112,Jameson Taillon,PIT,32,32,2,1,191,179,68,179,46,20,14,10,0,0,0,3.2,1.18
113,Joe Musgrove,PIT,19,19,0,0,115.1,113,52,100,23,12,6,9,0,0,0,4.06,1.18
114,Josh Smoker,PIT,7,0,0,0,5.2,11,7,2,5,2,0,0,0,1,0,11.12,2.82
115,Kyle Crick,PIT,64,0,0,0,60.1,45,16,65,23,3,3,2,2,1,17,2.39,1.13
116,Michael Feliz,PIT,47,0,0,0,47.2,49,30,55,23,6,1,2,0,2,12,5.66,1.51
117,Nick Burdi,PIT,2,0,0,0,1.1,3,3,2,2,1,0,0,0,0,0,20.25,3.75
118,Nick Kingham,PIT,18,15,0,0,76,79,44,69,26,18,5,7,0,0,0,5.21,1.38
119,Richard Rodriguez,PIT,63,0,0,0,69.1,55,19,88,19,5,4,3,0,0,15,2.47,1.07
120,Steven Brault,PIT,45,5,0,0,91.2,84,47,82,57,10,6,3,0,0,3,4.61,1.54
121,Tanner Anderson,PIT,6,0,0,0,11.1,15,8,6,8,1,1,0,0,0,0,6.35,2.03
122,Trevor Williams,PIT,31,31,1,1,170.2,146,59,126,55,15,14,10,0,0,0,3.11,1.18
123,Tyler Glasnow,PIT,34,0,0,0,56,47,27,72,34,5,1,2,0,0,4,4.34,1.45
124,Aaron Nola,PHI,33,33,0,0,212.1,149,56,224,58,17,17,6,0,0,0,2.37,0.97
125,Adam Morgan,PHI,67,0,0,0,49.1,49,21,50,22,5,0,2,1,3,14,3.83,1.44
126,Austin Davis,PHI,32,0,0,0,34.2,35,16,38,12,4,1,2,0,0,2,4.15,1.36
127,Ben Lively,PHI,5,5,0,0,23.2,34,18,22,10,4,0,2,0,0,0,6.85,1.86
128,Drew Anderson,PHI,5,1,0,0,12.2,17,7,11,2,0,0,1,0,0,0,4.97,1.5
129,Drew Hutchison,PHI,11,0,0,0,21.1,21,11,19,13,4,1,1,0,0,0,4.64,1.59
130,Edubray Ramos,PHI,52,0,0,0,42.2,34,11,42,15,4,3,1,1,1,12,2.32,1.15
131,Enyel De Los Santos,PHI,7,2,0,0,19,19,10,15,8,2,1,0,0,0,0,4.74,1.42
132,Hector Neris,PHI,53,0,0,0,47.2,46,27,76,16,11,1,3,11,3,4,5.1,1.3
133,Hoby Milner,PHI,10,0,0,0,4.2,6,4,4,3,1,0,0,0,0,0,7.71,1.93
134,Jake Arrieta,PHI,31,31,0,0,172.2,165,76,138,57,21,10,11,0,0,0,3.96,1.29
135,Jake Thompson,PHI,9,0,0,0,16.1,14,9,14,11,1,1,0,2,0,0,4.96,1.53
136,Jerad Eickhoff,PHI,3,1,0,0,5.1,10,4,11,0,1,0,1,0,0,0,6.75,1.88
137,Luis Garcia,PHI,59,0,0,0,46,49,31,51,18,4,3,1,1,3,13,6.07,1.46
138,Mark Leiter,PHI,12,0,0,0,16.2,22,10,13,8,5,0,1,0,0,0,5.4,1.8
139,Nick Pivetta,PHI,33,32,0,0,164,163,87,188,51,24,7,14,0,0,0,4.77,1.3
140,Pat Neshek,PHI,30,0,0,0,24.1,23,7,15,5,2,3,2,5,1,6,2.59,1.15
