Player,Tm,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Phillip Evans,NYM,3B,15,21,1,3,0,0,0,1,1,0,2,8,0,0,0,0.143,0.217,0.143,0.36
Preston Tucker ATL,ATL,OF,80,129,15,31,10,0,4,22,0,0,9,34,0,1,3,0.24,0.303,0.411,0.714
Preston Tucker CIN,CIN,OF,17,37,4,7,1,0,2,5,0,0,4,9,0,0,1,0.189,0.286,0.378,0.664
Rafael Bautista,WAS,OF,9,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rafael Ortega,MIA,OF,41,133,10,31,3,1,0,7,5,2,10,23,0,0,0,0.233,0.287,0.271,0.558
Raffy Lopez,SD,C,37,102,11,18,2,0,3,13,1,0,13,43,0,2,0,0.176,0.265,0.284,0.549
Raimel Tapia,COL,OF,25,25,6,5,2,1,1,6,0,0,2,7,0,0,0,0.2,0.259,0.48,0.739
Rene Rivera,ATL,C,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Rhys Hoskins,PHI,1B,153,558,89,137,38,0,34,96,5,3,87,150,0,5,9,0.246,0.354,0.496,0.85
Rio Ruiz,ATL,3B,14,12,1,1,0,0,0,0,0,0,2,5,0,0,1,0.083,0.267,0.083,0.35
Rocky Gale,LAD,C,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roman Quinn,PHI,OF,50,131,13,34,6,4,2,12,10,4,10,35,1,0,1,0.26,0.317,0.412,0.729
Ronald Acuna,ATL,OF,111,433,78,127,26,4,26,64,16,5,45,123,0,3,6,0.293,0.366,0.552,0.918
Rosell Herrera,CIN,OF,11,13,0,2,0,0,0,0,0,1,0,5,0,0,0,0.154,0.154,0.154,0.308
Ryan Braun,MIL,OF,125,405,59,103,25,1,20,64,11,5,34,85,0,3,2,0.254,0.313,0.469,0.782
Ryan Flaherty,ATL,3B,81,161,17,35,6,0,2,13,4,2,18,41,1,1,1,0.217,0.298,0.292,0.59
Ryan Lavarnway,PIT,C,6,6,1,4,1,0,0,1,0,0,0,1,0,0,0,0.667,0.667,0.833,1.5
Ryan McMahon,COL,1B,91,181,17,42,9,1,5,19,1,0,18,64,0,1,2,0.232,0.307,0.376,0.683
Ryan Zimmerman,WAS,1B,85,288,33,76,21,2,13,51,1,1,30,55,0,2,3,0.264,0.337,0.486,0.823
Ryder Jones,SF,1B,5,8,2,3,0,0,2,3,0,0,0,5,0,0,0,0.375,0.375,1.125,1.5
Scooter Gennett,CIN,2B,154,584,86,181,30,3,23,92,4,2,42,125,3,5,4,0.31,0.357,0.49,0.847
Scott Kingery,PHI,2B,147,452,55,102,23,2,8,35,10,3,24,126,0,5,3,0.226,0.267,0.338,0.605
Scott Schebler,CIN,OF,107,380,55,97,19,0,17,49,4,2,39,99,0,2,9,0.255,0.337,0.439,0.776
Sean Rodriguez,PIT,OF,66,150,21,25,5,1,5,19,1,0,22,60,0,0,1,0.167,0.277,0.313,0.59
Socrates Brito,ARI,OF,24,40,3,7,0,0,1,3,0,1,3,9,0,1,0,0.175,0.227,0.25,0.477
Spencer Kieboom,WAS,C,52,125,16,29,5,0,2,13,0,0,16,28,0,1,1,0.232,0.322,0.32,0.642
Starlin Castro,MIA,2B,154,593,76,165,32,2,12,54,6,4,48,124,0,6,0,0.278,0.329,0.4,0.729
Starling Marte,PIT,OF,145,559,81,155,32,5,20,72,33,14,35,109,1,3,8,0.277,0.327,0.46,0.787
Steve Baron,STL,C,2,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4
Steven Duggar,SF,OF,41,141,20,36,11,1,2,17,5,1,10,44,0,1,0,0.255,0.303,0.39,0.693
Steven Souza,ARI,OF,72,241,21,53,15,3,5,29,6,1,28,75,0,0,3,0.22,0.309,0.369,0.678
Taylor Davis,CHC,C,5,5,0,2,0,0,0,2,0,0,0,1,0,1,0,0.4,0.333,0.4,0.733
Terrance Gore,CHC,OF,14,5,5,1,0,0,0,0,6,0,0,1,0,0,0,0.2,0.2,0.2,0.4
Tim Federowicz,CIN,C,5,6,1,2,1,0,1,2,0,0,1,3,0,0,0,0.333,0.429,1,1.429
Tim Locastro,LAD,2B,18,11,6,2,1,0,0,0,4,0,2,5,0,0,1,0.182,0.357,0.273,0.63
Todd Frazier,NYM,3B,115,408,54,87,18,0,18,59,9,4,48,112,0,8,8,0.213,0.303,0.39,0.693
Tom Murphy,COL,C,37,93,5,21,7,1,2,11,0,1,3,44,0,0,0,0.226,0.25,0.387,0.637
Tomas Nido,NYM,C,34,84,10,14,3,0,1,9,0,0,4,27,0,2,0,0.167,0.2,0.238,0.438
Tomas Telis,MIA,1B,23,29,2,6,1,0,0,1,0,0,2,8,0,0,0,0.207,0.258,0.241,0.499
Tommy La Stella,CHC,2B,123,169,23,45,8,0,1,19,0,1,17,27,0,0,2,0.266,0.34,0.331,0.671
Tommy Pham,STL,OF,98,351,67,87,11,0,14,41,10,6,42,97,0,1,2,0.248,0.331,0.399,0.73
Tony Cruz,CIN,C,9,26,2,4,1,0,1,2,0,0,0,11,0,0,0,0.154,0.154,0.308,0.462
Tony Wolters,COL,C,74,182,19,31,4,4,3,27,2,0,26,33,0,2,6,0.17,0.292,0.286,0.578
Travis d'Arnaud,NYM,C,4,15,1,3,0,0,1,3,0,0,1,5,0,0,0,0.2,0.25,0.4,0.65
Travis Jankowski,SD,OF,117,347,45,90,12,3,4,17,24,7,37,73,2,0,1,0.259,0.332,0.346,0.678
Travis Shaw,MIL,3B,152,498,73,120,23,0,32,86,5,2,78,108,1,6,4,0.241,0.345,0.48,0.825
Trea Turner,WAS,SS,162,664,103,180,27,6,19,73,43,9,69,132,2,0,5,0.271,0.344,0.416,0.76
Trevor Plouffe,PHI,3B,7,12,1,3,0,0,1,3,0,0,0,6,0,0,0,0.25,0.25,0.5,0.75
Trevor Story,COL,SS,157,598,88,174,42,6,37,108,27,6,47,168,0,4,7,0.291,0.348,0.567,0.915
Tucker Barnhart,CIN,C,138,460,50,114,21,3,10,46,0,4,54,96,3,3,2,0.248,0.328,0.372,0.7
Ty Kelly,NYM,2B,9,11,1,1,0,0,0,0,0,0,1,2,0,0,0,0.091,0.167,0.091,0.258
Tyler Flowers,ATL,C,82,251,34,57,9,0,8,30,0,0,35,76,0,1,9,0.227,0.341,0.359,0.7
Tyler O'Neill,STL,OF,61,130,29,33,5,0,9,23,2,0,7,57,0,2,3,0.254,0.303,0.5,0.803
Tyler Saladino,MIL,SS,52,118,11,29,3,0,5,16,2,2,9,38,1,1,1,0.246,0.302,0.398,0.7
Victor Caratini,CHC,C,76,181,21,42,7,0,2,21,0,0,12,42,2,1,4,0.232,0.293,0.304,0.597
Victor Robles,WAS,OF,21,59,8,17,3,1,3,10,3,2,4,12,0,1,2,0.288,0.348,0.525,0.873
Wil Myers,SD,1B,83,312,39,79,25,1,11,39,13,1,30,94,0,1,0,0.253,0.318,0.446,0.764
Willson Contreras,CHC,C,138,474,50,118,27,5,10,54,4,1,53,121,2,2,13,0.249,0.339,0.39,0.729
Wilmer Difo,WAS,SS,148,408,55,94,14,7,7,42,10,3,39,82,3,4,2,0.23,0.298,0.35,0.648
Wilmer Flores,NYM,3B,126,386,43,103,25,0,11,51,0,0,29,42,0,9,5,0.267,0.319,0.417,0.736
Wilson Ramos,PHI,C,33,89,9,30,8,1,1,17,0,0,10,19,0,2,0,0.337,0.396,0.483,0.879
Yadiel Rivera,MIA,3B,111,139,13,24,3,0,1,9,2,1,19,51,0,2,0,0.173,0.269,0.216,0.485
Yadier Molina,STL,C,123,459,55,120,20,0,20,74,4,3,29,66,0,6,9,0.261,0.314,0.436,0.75
Yairo Munoz,STL,SS,108,293,39,81,16,0,8,42,5,6,30,71,0,2,4,0.276,0.35,0.413,0.763
Yasiel Puig,LAD,OF,125,405,60,108,21,1,23,63,15,5,36,87,0,2,1,0.267,0.327,0.494,0.821
Yasmani Grandal,LAD,C,140,440,65,106,23,2,24,68,2,1,72,124,0,3,3,0.241,0.349,0.466,0.815
Yoenis Cespedes,NYM,OF,38,141,20,37,6,0,9,29,3,0,13,50,0,2,1,0.262,0.325,0.496,0.821
