battarstatid,Player,Tm,Pos,G,AB,R,H,Hit_2B,Hit_3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
122,Martin Prado,MIA,3B,54,197,16,48,9,0,1,18,1,1,11,35,0,0,1,0.244,0.287,0.305,0.592
123,Bryan Holaday,MIA,C,61,151,7,31,5,0,1,16,0,0,10,29,1,2,2,0.205,0.261,0.258,0.519
124,Magneuris Sierra,MIA,OF,54,147,10,28,3,0,0,7,3,2,6,39,3,0,0,0.19,0.222,0.211,0.433
125,Yadiel Rivera,MIA,3B,111,139,13,24,3,0,1,9,2,1,19,51,0,2,0,0.173,0.269,0.216,0.485
126,Rafael Ortega,MIA,OF,41,133,10,31,3,1,0,7,5,2,10,23,0,0,0,0.233,0.287,0.271,0.558
127,J.B. Shuck,MIA,OF,70,130,10,25,3,1,0,4,2,2,10,22,1,0,1,0.192,0.255,0.231,0.486
128,Austin Dean,MIA,OF,34,113,16,25,4,0,4,14,1,0,7,22,0,0,2,0.221,0.279,0.363,0.642
129,Peter O'Brien,MIA,OF,22,66,8,18,5,0,4,10,0,0,7,22,0,1,0,0.273,0.338,0.53,0.868
130,Isaac Galloway,MIA,OF,43,64,7,13,3,0,3,7,1,1,9,21,1,0,0,0.203,0.301,0.391,0.692
131,Chad Wallach,MIA,C,15,45,4,8,1,0,1,5,0,0,4,23,1,0,2,0.178,0.275,0.267,0.542
132,Garrett Cooper,MIA,1B,14,33,2,7,1,0,0,2,0,0,4,12,0,0,1,0.212,0.316,0.242,0.558
133,Tomas Telis,MIA,1B,23,29,2,6,1,0,0,1,0,0,2,8,0,0,0,0.207,0.258,0.241,0.499
134,Braxton Lee,MIA,OF,8,17,0,3,0,0,0,2,0,0,1,8,0,0,0,0.176,0.222,0.176,0.398
135,Christopher Bostick,MIA,OF,13,14,0,3,1,0,0,2,0,0,2,6,0,0,0,0.214,0.313,0.286,0.599
136,Christian Yelich,MIL,OF,147,574,118,187,34,7,36,110,22,4,68,135,0,2,7,0.326,0.402,0.598,1
137,Lorenzo Cain,MIL,OF,141,539,90,166,25,2,10,38,30,7,71,94,0,2,8,0.308,0.395,0.417,0.812
138,Travis Shaw,MIL,3B,152,498,73,120,23,0,32,86,5,2,78,108,1,6,4,0.241,0.345,0.48,0.825
139,Jesus Aguilar,MIL,1B,149,492,80,135,25,0,35,108,0,0,58,143,0,10,6,0.274,0.352,0.539,0.891
140,Ryan Braun,MIL,OF,125,405,59,103,25,1,20,64,11,5,34,85,0,3,2,0.254,0.313,0.469,0.782
