Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Reyes Moronta,SFG,69,0,0,0,65,34,18,79,37,4,5,2,1,5,12,2.49,1.09
Roberto Gomez,SFG,5,0,0,0,9.1,20,8,8,1,0,1,0,0,0,0,7.71,2.25
Sam Dyson,SFG,74,0,0,0,70.1,56,21,56,20,5,4,3,3,5,15,2.69,1.08
Steven Okert,SFG,10,0,0,0,7.1,4,1,8,0,1,0,0,0,0,0,1.23,0.55
Tony Watson,SFG,72,0,0,0,66,54,19,72,14,4,4,6,0,4,32,2.59,1.03
Ty Blach,SFG,47,13,0,0,118.2,133,56,75,41,8,6,7,0,0,3,4.25,1.47
Tyler Beede,SFG,2,2,0,0,7.2,9,7,9,8,0,0,1,0,0,0,8.22,2.22
Will Smith,SFG,54,0,0,0,53,37,15,71,15,3,2,3,14,4,6,2.55,0.98
Adam Cimber,SDP,42,0,0,0,48.1,42,17,51,10,2,3,5,0,1,5,3.17,1.08
Brad Hand,SDP,41,0,0,0,44.1,33,15,65,15,5,2,4,24,5,3,3.05,1.08
Brad Wieck,SDP,5,0,0,0,7,3,1,10,0,1,0,0,0,0,0,1.29,0.43
Brett Kennedy,SDP,6,6,0,0,26.2,36,20,18,12,6,1,2,0,0,0,6.75,1.8
Bryan Mitchell,SDP,16,11,0,0,73,85,44,38,43,12,2,4,0,0,0,5.42,1.75
Clayton Richard,SDP,27,27,0,0,158.2,159,94,108,60,19,7,11,0,0,0,5.33,1.38
Colten Brewer,SDP,11,0,0,0,9.2,15,6,10,7,0,1,0,0,0,0,5.59,2.28
Craig Stammen,SDP,73,0,0,0,79,65,24,88,17,3,8,3,0,5,23,2.73,1.04
Eric Lauer,SDP,23,23,0,0,112,127,54,100,46,15,6,7,0,0,0,4.34,1.54
Jacob Nix,SDP,9,9,0,0,42.1,52,33,21,13,8,2,5,0,0,0,7.02,1.54
Joey Lucchesi,SDP,26,26,0,0,130,125,59,145,43,23,8,9,0,0,0,4.08,1.29
Jordan Lyles,SDP,24,8,0,0,71.1,71,34,62,19,12,2,4,0,0,2,4.29,1.26
Jose Castillo,SDP,37,0,0,0,38.1,23,14,52,12,3,3,3,0,1,12,3.29,0.91
Kazuhisa Makita,SDP,27,0,0,0,35,32,21,37,12,7,0,1,0,0,2,5.4,1.26
Kirby Yates,SDP,65,0,0,0,63,41,15,90,17,6,5,3,12,1,16,2.14,0.92
Kyle McGrath,SDP,4,0,0,0,4,3,2,4,3,2,0,0,0,0,0,4.5,1.5
Luis Perdomo,SDP,12,10,0,0,44.2,62,35,39,22,4,1,6,0,0,0,7.05,1.88
Matt Strahm,SDP,41,5,0,0,61.1,39,14,69,21,6,3,4,0,0,7,2.05,0.98
Miguel Diaz,SDP,11,0,0,0,18.2,16,10,30,12,2,1,0,0,0,0,4.82,1.5
Phil Hughes,SDP,16,0,0,0,20.2,30,14,24,5,7,0,0,0,0,0,6.1,1.69
Phil Maton,SDP,45,0,0,0,47.1,50,23,55,23,3,0,2,0,1,3,4.37,1.54
Robbie Erlin,SDP,39,12,0,0,109,112,51,88,12,12,4,7,0,0,1,4.21,1.14
Robert Stock,SDP,32,0,0,0,39.2,37,11,38,13,1,1,1,0,1,4,2.5,1.26
Rowan Wick,SDP,10,0,0,0,8.1,13,6,7,1,1,0,1,0,0,0,6.48,1.68
Trey Wingenter,SDP,22,0,0,0,19,13,8,27,11,3,0,0,0,2,5,3.79,1.26
Tyson Ross,SDP,22,22,0,0,123.1,112,61,107,52,16,6,9,0,0,0,4.45,1.33
Walker Lockett,SDP,4,3,0,0,15,22,16,12,10,4,0,3,0,0,0,9.6,2.13
Alex McRae,PIT,2,0,0,0,6.1,8,4,5,5,0,0,1,0,0,0,5.68,2.05
Casey Sadler,PIT,2,0,0,0,4.1,9,4,3,3,0,0,0,0,0,0,8.31,2.77
Chad Kuhl,PIT,16,16,0,0,85,89,43,81,33,14,5,5,0,0,0,4.55,1.44
Clay Holmes,PIT,11,4,0,0,26.1,30,20,21,23,2,1,3,0,1,0,6.84,2.01
Dovydas Neverauskas,PIT,25,0,0,0,27,30,24,27,10,9,0,0,0,1,2,8,1.48
Edgar Santana,PIT,69,0,0,0,66.1,61,24,54,12,7,3,4,0,7,20,3.26,1.1
Felipe Vazquez,PIT,70,0,0,0,70,63,21,89,24,4,4,2,37,5,0,2.7,1.24
George Kontos,PIT,21,0,0,0,19.2,23,11,9,5,4,2,3,1,1,5,5.03,1.42
Ivan Nova,PIT,29,29,0,0,161,171,75,114,35,26,9,9,0,0,0,4.19,1.28
Jameson Taillon,PIT,32,32,2,1,191,179,68,179,46,20,14,10,0,0,0,3.2,1.18
Joe Musgrove,PIT,19,19,0,0,115.1,113,52,100,23,12,6,9,0,0,0,4.06,1.18
Josh Smoker,PIT,7,0,0,0,5.2,11,7,2,5,2,0,0,0,1,0,11.12,2.82
Kyle Crick,PIT,64,0,0,0,60.1,45,16,65,23,3,3,2,2,1,17,2.39,1.13
Michael Feliz,PIT,47,0,0,0,47.2,49,30,55,23,6,1,2,0,2,12,5.66,1.51
Nick Burdi,PIT,2,0,0,0,1.1,3,3,2,2,1,0,0,0,0,0,20.25,3.75
Nick Kingham,PIT,18,15,0,0,76,79,44,69,26,18,5,7,0,0,0,5.21,1.38
Richard Rodriguez,PIT,63,0,0,0,69.1,55,19,88,19,5,4,3,0,0,15,2.47,1.07
Steven Brault,PIT,45,5,0,0,91.2,84,47,82,57,10,6,3,0,0,3,4.61,1.54
Tanner Anderson,PIT,6,0,0,0,11.1,15,8,6,8,1,1,0,0,0,0,6.35,2.03
Trevor Williams,PIT,31,31,1,1,170.2,146,59,126,55,15,14,10,0,0,0,3.11,1.18
Tyler Glasnow,PIT,34,0,0,0,56,47,27,72,34,5,1,2,0,0,4,4.34,1.45
Aaron Nola,PHI,33,33,0,0,212.1,149,56,224,58,17,17,6,0,0,0,2.37,0.97
Adam Morgan,PHI,67,0,0,0,49.1,49,21,50,22,5,0,2,1,3,14,3.83,1.44
Austin Davis,PHI,32,0,0,0,34.2,35,16,38,12,4,1,2,0,0,2,4.15,1.36
Ben Lively,PHI,5,5,0,0,23.2,34,18,22,10,4,0,2,0,0,0,6.85,1.86
Drew Anderson,PHI,5,1,0,0,12.2,17,7,11,2,0,0,1,0,0,0,4.97,1.5
Drew Hutchison,PHI,11,0,0,0,21.1,21,11,19,13,4,1,1,0,0,0,4.64,1.59
Edubray Ramos,PHI,52,0,0,0,42.2,34,11,42,15,4,3,1,1,1,12,2.32,1.15
Enyel De Los Santos,PHI,7,2,0,0,19,19,10,15,8,2,1,0,0,0,0,4.74,1.42
Hector Neris,PHI,53,0,0,0,47.2,46,27,76,16,11,1,3,11,3,4,5.1,1.3
Hoby Milner,PHI,10,0,0,0,4.2,6,4,4,3,1,0,0,0,0,0,7.71,1.93
Jake Arrieta,PHI,31,31,0,0,172.2,165,76,138,57,21,10,11,0,0,0,3.96,1.29
